ListPrice,SalePrice,Age,Living,Lot,Tax,Bathrooms,Bedrooms,Garage,Story,CitySewer,eastUS1,Pool
419000,392000,55,1732,10000,3876,2,3,1,1,no,yes,no
398000,396000,31,1738,5650,4117,2,3,2,1,yes,no,no
374000,379040,31,1738,5650,4649,2,3,2,1,no,no,no
339000,330000,52,1741,11000,4003,2,3,2,1,no,no,no
389900,357000,52,1744,5650,2849,2,3,1,1,yes,no,no
399000,325000,45,1748,5250,3174,2,3,1,1,no,no,no
320000,320000,42,1751,5650,2885,2,3,0,1,yes,no,no
349000,348000,44,1753,6500,3039,2,3,0,1,no,no,no
358000,350000,42,1758,5500,2845,3,3,1,1,no,no,no
385000,385000,47,1763,5250,4113,2,3,1,1,no,no,no
395000,392500,45,1764,5500,3178,2,3,1,1,no,no,no
414000,400000,51,1764,10408,5361,2,3,1,1,yes,no,no
375000,375000,50,1767,8260,5017,2,3,1,1,no,no,no
469000,440000,52,1772,9200,4783,3,2,1,1,no,no,yes
350000,381000,52,1777,9200,3971,2,3,1,1,no,no,no
399000,355000,45,1780,6075,2803,2,3,2,1,no,no,no
375000,365000,77,1785,6150,4891,3,3,2,2,no,no,no
350000,350000,34,1789,6050,4606,2,2,1,1,no,yes,yes
408000,392500,73,1793,7500,3086,2,3,0,1,no,no,no
382000,382000,18,1794,11500,5157,2,3,1,1,no,no,no
299900,255000,77,1801,5000,2292,2,4,1,1,no,no,no
425000,412000,54,1802,11000,3930,2,3,1,1,yes,no,no
429900,413500,52,1802,7568,4520,2,3,1,1,no,no,no
399000,393000,55,1804,10200,5895,2,3,1,1,no,no,yes
369000,370000,55,1809,5900,3189,2,3,1,1,no,no,no
285000,265000,77,1812,5000,3527,3,3,0,1,no,no,no
375000,360000,63,1812,10000,3544,3,3,0,1,no,no,no
300000,280000,60,1815,6596,3327,2,3,1,1,no,no,no
349000,345000,77,1815,5636,4465,2,3,1,1,no,no,no
329000,303500,76,1820,5000,2875,1,2,0,1,no,no,no
499000,465000,45,1821,9200,4519,2,3,2,1,yes,yes,no
319000,308000,47,1823,5900,3188,2,3,1,1,yes,no,no
349000,339000,76,1825,5000,2405,3,3,0,1,yes,no,no
475000,450000,45,1827,10000,5391,2,3,2,1,no,yes,no
369000,366000,41,1830,7500,2866,2,3,0,1,yes,no,no
489000,455000,52,1839,9875,5569,2,3,1,1,no,yes,no
439000,420000,34,1841,5000,3904,3,4,0,2,no,yes,no
412000,400000,66,1841,10000,5133,2,3,1,1,yes,no,no
469000,468085,53,1844,10000,4909,2,3,2,1,yes,no,no
519000,485000,52,1862,10382,4556,2,3,1,1,yes,no,no
388000,372500,33,1862,6000,4933,2,3,1,1,no,yes,no
449000,455000,43,1864,6300,3653,3,3,2,1,yes,no,no
449000,435000,52,1865,10000,4198,2,3,2,1,no,no,no
459000,455000,48,1869,10000,5490,2,3,2,1,no,yes,yes
399000,425000,45,1870,6800,2874,3,4,1,1,yes,no,no
368000,350000,80,1870,7500,3606,1,3,1,1,no,no,no
399000,395000,56,1870,8475,5356,2,2,1,1,yes,no,no
400000,400000,75,1873,5400,4676,3,2,1,1,no,no,no
325000,312000,76,1881,5000,2812,2,4,0,1,yes,no,no
389000,350000,42,1883,6250,3139,2,3,2,1,no,no,no
405000,568656,38,1883,6350,3728,2,3,1,1,yes,no,no
439000,410000,80,1885,8475,4010,3,4,0,1,yes,no,yes
419000,400000,24,1886,5586,5071,2,3,1,1,no,no,no
230000,220000,29,1887,5750,1960,2,4,0,1,no,no,no
435000,427500,45,1887,6801,5359,2,3,2,1,no,no,no
275000,275000,32,1890,5000,3429,3,3,2,2,no,yes,no
425000,407000,76,1898,5000,3725,2,4,1,2,yes,no,no
430000,405000,46,1905,10001,8008,2,2,0,1,no,yes,no
350000,320000,47,1910,8000,3344,2,3,1,1,yes,no,no
415000,355000,39,1911,7500,4453,2,3,2,1,no,yes,no
525000,523000,49,1912,10700,5871,2,3,2,1,no,yes,yes
509000,495000,49,1913,7500,4728,2,3,1,1,no,yes,yes
500000,500000,50,1913,10000,4812,2,3,2,1,no,yes,yes
399900,399900,47,1914,7500,3694,3,3,2,1,no,no,no
382000,382000,49,1919,16159,5232,2,3,1,1,yes,no,no
350000,324900,13,1920,1875,4344,2,3,1,2,yes,no,no
475000,443000,47,1922,10000,4835,2,3,2,1,no,yes,yes
499900,499900,47,1923,5550,3564,2,4,0,2,no,no,no
424500,400000,52,1933,11000,4894,3,3,1,1,no,no,yes
580000,565000,59,1944,18375,6455,3,3,2,1,no,no,yes
400000,377500,77,1945,5000,3692,2,3,1,2,no,no,no
459900,432000,76,1955,5650,5303,3,3,0,1,no,no,yes
479000,450000,50,1964,10000,5321,3,3,2,1,no,yes,yes
539500,495000,44,1965,11270,5150,2,3,2,1,yes,yes,yes
235000,235000,29,1966,5800,2065,2,4,1,1,no,no,no
449500,460000,49,1966,10000,5372,2,3,2,1,no,yes,no
429000,410000,65,1967,5650,2046,2,3,1,1,yes,no,no
424000,373000,51,1978,10500,6198,2,3,2,1,no,no,no
359000,343000,30,1980,5000,3727,2,3,1,2,no,no,no
399000,400000,48,1989,8065,4806,2,3,1,1,no,yes,no
489000,479000,37,2003,5000,3574,3,3,1,2,no,no,no
349000,340000,49,2007,11000,3674,2,3,2,1,no,no,no
412000,412500,77,2010,7500,3278,2,3,0,1,yes,no,no
449000,445000,35,2021,6250,3543,3,4,1,2,yes,no,no
399900,405000,8,2022,5200,4400,3,3,2,2,no,no,no
